지역,연도,배출량,면적,면적당_배출량
경기도,2010,501.46,10200.0,0.049162745098039216
경기도,2010,470.67,10200.0,0.04614411764705883
경기도,2010,0.0,10200.0,0.0
강원특별자치도,2010,43321.89,16830.0,2.5740873440285204
강원특별자치도,2010,40153.96,16830.0,2.385856209150327
강원특별자치도,2010,24437.97,16830.0,1.4520481283422462
강원특별자치도,2010,22404.27,16830.0,1.3312103386809269
강원특별자치도,2010,7156.04,16830.0,0.42519548425430775
강원특별자치도,2010,9878.19,16830.0,0.586939393939394
강원특별자치도,2010,2751.7,16830.0,0.16349970291146762
강원특별자치도,2010,2397.71,16830.0,0.14246642899584075
강원특별자치도,2010,220.63,16830.0,0.013109328579916814
강원특별자치도,2010,2033.7,16830.0,0.12083778966131907
강원특별자치도,2010,2033.16,16830.0,0.12080570409982175
강원특별자치도,2010,0.54,16830.0,3.20855614973262e-05
강원특별자치도,2010,16691.94,16830.0,0.9917967914438501
강원특별자치도,2010,16483.23,16830.0,0.9793957219251337
강원특별자치도,2010,0.0,16830.0,0.0
강원특별자치도,2010,44.17,16830.0,0.0026244800950683306
강원특별자치도,2010,18.98,16830.0,0.0011277480689245395
강원특별자치도,2010,0.0,16830.0,0.0
강원특별자치도,2010,0.0,16830.0,0.0
강원특별자치도,2010,145.56,16830.0,0.008648841354723708
강원특별자치도,2010,1282.19,16830.0,0.07618478906714202
강원특별자치도,2010,375.97,16830.0,0.02233927510398099
강원특별자치도,2010,271.23,16830.0,0.016115864527629236
강원특별자치도,2010,466.25,16830.0,0.027703505644682117
강원특별자치도,2010,158.49,16830.0,0.00941711229946524
강원특별자치도,2010,0.0,16830.0,0.0
강원특별자치도,2010,2.39,16830.0,0.0001420083184789067
강원특별자치도,2010,0.17,16830.0,1.0101010101010101e-05
강원특별자치도,2010,7.7,16830.0,0.00045751633986928104
강원특별자치도,2010,0.0,16830.0,0.0
강원특별자치도,2010,0.0,16830.0,0.0
강원특별자치도,2010,-3167.93,16830.0,-0.18823113487819368
강원특별자치도,2010,-3367.67,16830.0,-0.2000992275698158
강원특별자치도,2010,207.32,16830.0,0.012318478906714201
강원특별자치도,2010,-22.39,16830.0,-0.001330362448009507
강원특별자치도,2010,28.76,16830.0,0.001708853238265003
강원특별자치도,2010,0.0,16830.0,0.0
강원특별자치도,2010,0.0,16830.0,0.0
강원특별자치도,2010,-13.95,16830.0,-0.0008288770053475936
강원특별자치도,2010,0.0,16830.0,0.0
강원특별자치도,2010,909.78,16830.0,0.05405704099821747
강원특별자치도,2010,856.03,16830.0,0.05086333927510398
강원특별자치도,2010,5.19,16830.0,0.00030837789661319074
강원특별자치도,2010,8.49,16830.0,0.0005044563279857397
강원특별자치도,2010,40.07,16830.0,0.0023808674985145574
강원특별자치도,2010,0.0,16830.0,0.0
충청북도,2010,21618.19,7407.0,2.9186161738895637
충청북도,2010,11619.83,7407.0,1.568763331983259
충청북도,2010,9572.56,7407.0,1.2923666801674092
충청북도,2010,9295.53,7407.0,1.254965573106521
충청북도,2010,251.36,7407.0,0.03393546645065479
충청북도,2010,3922.04,7407.0,0.5295045227487511
충청북도,2010,2996.88,7407.0,0.4046010530579182
충청북도,2010,2063.6,7407.0,0.27860132307276897
충청북도,2010,61.65,7407.0,0.008323207776427703
충청북도,2010,277.03,7407.0,0.037401107060888346
충청북도,2010,275.89,7407.0,0.03724719859592277
충청북도,2010,1.14,7407.0,0.0001539084649655731
충청북도,2010,9982.1,7407.0,1.3476576211691644
충청북도,2010,8558.93,7407.0,1.1555191035506953
충청북도,2010,0.0,7407.0,0.0
충청북도,2010,0.22,7407.0,2.9701633589847443e-05
충청북도,2010,21.57,7407.0,0.0029121101660591333
충청북도,2010,1213.21,7407.0,0.16379235857972188
충청북도,2010,0.0,7407.0,0.0
충청북도,2010,188.17,7407.0,0.025404347239098148
충청북도,2010,1509.88,7407.0,0.20384501147563117
충청북도,2010,380.89,7407.0,0.05142297826380451
충청북도,2010,348.78,7407.0,0.04708788983394086
충청북도,2010,596.32,7407.0,0.08050762791953558
충청북도,2010,174.69,7407.0,0.023584447144592954
충청북도,2010,0.0,7407.0,0.0
충청북도,2010,3.45,7407.0,0.00046577561765897126
충청북도,2010,0.12,7407.0,1.6200891049007695e-05
충청북도,2010,5.63,7407.0,0.0007600918050492777
충청북도,2010,0.0,7407.0,0.0
충청북도,2010,0.0,7407.0,0.0
충청북도,2010,-9998.36,7407.0,-1.349852841906305
충청북도,2010,-10249.42,7407.0,-1.3837478061293371
충청북도,2010,243.41,7407.0,0.03286215741865803
충청북도,2010,-15.52,7407.0,-0.0020953152423383286
충청북도,2010,28.76,7407.0,0.0038828135547455114
충청북도,2010,0.0,7407.0,0.0
충청북도,2010,0.0,7407.0,0.0
충청북도,2010,-5.59,7407.0,-0.0007546915080329418
충청북도,2010,0.0,7407.0,0.0
충청북도,2010,553.65,7407.0,0.07474686107735926
충청북도,2010,389.21,7407.0,0.05254624004320237
충청북도,2010,3.05,7407.0,0.0004117726474956122
충청북도,2010,81.61,7407.0,0.011017955987579316
충청북도,2010,79.77,7407.0,0.010769542324827864
충청북도,2010,0.0,7407.0,0.0
충청남도,2010,140886.22,8247.0,17.083329695646903
충청남도,2010,138104.85,8247.0,16.746071298654055
충청남도,2010,122758.22,8247.0,14.88519704134837
충청남도,2010,122203.31,8247.0,14.817910755426215
충청남도,2010,103945.04,8247.0,12.603982054080271
충청남도,2010,10711.21,8247.0,1.298800776039772
충청남도,2010,4122.5,8247.0,0.49987874378561903
충청남도,2010,3103.9,8247.0,0.37636716381714563
충청남도,2010,320.66,8247.0,0.0388820177034073
충청남도,2010,554.91,8247.0,0.06728628592215351
충청남도,2010,531.02,8247.0,0.06438947496059173
충청남도,2010,23.89,8247.0,0.00289681096156178
충청남도,2010,13451.73,8247.0,1.6311058566751546
충청남도,2010,343.8,8247.0,0.04168788650418334
충청남도,2010,7146.71,8247.0,0.8665829998787438
충청남도,2010,3204.0,8247.0,0.38850491087668243
충청남도,2010,34.38,8247.0,0.004168788650418334
충청남도,2010,2363.21,8247.0,0.28655389838729234
충청남도,2010,0.0,8247.0,0.0
충청남도,2010,359.63,8247.0,0.043607372377834366
충청남도,2010,4211.71,8247.0,0.5106960106705468
충청남도,2010,862.97,8247.0,0.10464047532436038
충청남도,2010,1080.19,8247.0,0.13097975021219838
충청남도,2010,1794.21,8247.0,0.21755911240451073
충청남도,2010,452.21,8247.0,0.054833272705226144
충청남도,2010,0.0,8247.0,0.0
충청남도,2010,3.42,8247.0,0.0004146962531829756
충청남도,2010,0.4,8247.0,4.8502485752394814e-05
충청남도,2010,18.3,8247.0,0.0022189887231720625
충청남도,2010,0.0,8247.0,0.0
충청남도,2010,0.0,8247.0,0.0
충청남도,2010,-2781.37,8247.0,-0.3372583969928459
충청남도,2010,-3011.87,8247.0,-0.3652079544076634
충청남도,2010,282.26,8247.0,0.034225779071177395
충청남도,2010,-24.6,8247.0,-0.002982902873772281
충청남도,2010,44.81,8247.0,0.0054334909664120285
충청남도,2010,0.0,8247.0,0.0
충청남도,2010,0.0,8247.0,0.0
충청남도,2010,-71.98,8247.0,-0.008728022311143446
충청남도,2010,0.0,8247.0,0.0
충청남도,2010,464.56,8247.0,0.056330786952831335
충청남도,2010,351.93,8247.0,0.04267369952710076
충청남도,2010,6.5,8247.0,0.0007881653934764157
충청남도,2010,34.78,8247.0,0.004217291136170729
충청남도,2010,71.35,8247.0,0.008651630896083423
충청남도,2010,0.0,8247.0,0.0
전북특별자치도,2010,15755.13,,
전북특별자치도,2010,13961.62,,
전북특별자치도,2010,11197.23,,
전북특별자치도,2010,11183.33,,
전북특별자치도,2010,2305.31,,
전북특별자치도,2010,2414.1,,
전북특별자치도,2010,3595.3,,
전북특별자치도,2010,2695.59,,
전북특별자치도,2010,173.03,,
전북특별자치도,2010,13.9,,
전북특별자치도,2010,12.48,,
